Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,0.8%,5.6%,15.2%,3.0%,3.3%,-0.9%,12.6%,6.5%,3.7%,9.5%,5.2%,3.8%,6.8%,5.6%,6.3%,5.5%,6.8%,7.0%,4.5%,5.8%,5.9%
,Panel 5,,0.8%,5.9%,15.3%,3.1%,3.4%,-0.8%,12.7%,6.9%,3.8%,9.7%,5.4%,4.0%,6.9%,5.9%,6.4%,5.6%,7.0%,7.1%,4.6%,5.9%,5.9%
,Panel 3,1.00,3.2%,-4.5%,4.4%,-0.3%,1.7%,-13.0%,-0.2%,-1.9%,-1.0%,-1.9%,-9.0%,10.6%,-0.6%,-4.5%,-1.5%,1.7%,4.3%,4.4%,10.1%,10.3%,10.3%
,Panel 5,2.02,2.0%,6.0%,2.3%,6.1%,4.4%,2.6%,-11.2%,3.0%,1.6%,3.5%,5.3%,0.5%,7.8%,7.2%,2.9%,4.9%,5.8%,5.9%,6.4%,6.9%,5.7%
,Panel 1,1.13,1.6%,2.9%,-2.6%,3.7%,2.6%,-12.7%,-5.7%,23.1%,-4.3%,5.5%,2.0%,-2.7%,3.1%,2.7%,0.2%,1.9%,3.7%,1.7%,1.9%,0.7%,1.5%
,Panel 5,,2.0%,6.0%,2.2%,6.1%,4.4%,2.6%,-11.1%,2.9%,1.6%,3.5%,5.2%,0.5%,7.8%,7.2%,2.9%,4.9%,5.8%,5.8%,6.4%,6.8%,5.7%
,Panel 5,2.07,1.3%,4.6%,8.9%,-1.7%,-0.1%,-11.7%,14.5%,8.0%,-1.6%,6.4%,-0.6%,-3.3%,0.9%,1.3%,0.0%,0.9%,0.9%,3.4%,1.7%,1.4%,6.8%
,Panel 1,,0.4%,3.7%,-0.4%,1.2%,-3.6%,-17.8%,18.1%,19.8%,-5.6%,5.3%,-2.5%,-2.6%,-0.3%,-1.3%,-0.9%,-1.8%,-1.1%,1.0%,-1.7%,0.4%,-2.1%
,Panel 5,,14.1%,4.3%,3.2%,6.2%,15.7%,-20.8%,47.3%,3.7%,2.5%,0.7%,-1.6%,-9.2%,-4.8%,7.7%,-6.4%,-1.7%,4.6%,0.7%,-2.8%,-1.1%,-0.1%
,Panel 5,,14.1%,4.3%,3.3%,6.3%,15.7%,-20.7%,47.1%,3.7%,2.5%,0.6%,-1.7%,-9.3%,-5.0%,7.7%,-6.4%,-1.8%,4.6%,0.7%,-2.8%,-1.0%,0.0%
,Panel 5,,7.0%,-13.2%,3.5%,-8.1%,-6.1%,-20.3%,119.3%,-6.3%,-7.5%,11.1%,-1.2%,-5.6%,0.5%,2.7%,-4.3%,1.6%,0.7%,7.0%,5.4%,0.4%,-1.9%
,Panel 5,,7.0%,-13.2%,3.5%,-8.1%,-6.1%,-20.3%,119.3%,-6.3%,-7.5%,11.1%,-1.2%,-5.7%,0.5%,2.7%,-4.3%,1.5%,0.7%,7.0%,5.4%,0.4%,-1.9%
,Panel 5,,0.2%,0.7%,2.5%,-8.6%,-2.9%,-16.6%,3.0%,-16.0%,-5.3%,1.5%,-4.2%,-7.8%,-7.3%,-4.2%,-4.0%,-6.5%,-3.4%,-4.3%,-4.2%,-2.7%,-1.4%
,Panel 5,,0.2%,0.7%,2.5%,-8.6%,-2.9%,-16.6%,3.0%,-16.0%,-5.3%,1.5%,-4.2%,-7.8%,-7.3%,-4.2%,-4.0%,-6.5%,-3.4%,-4.3%,-4.2%,-2.7%,-1.4%
,Panel 5,,42.6%,19.3%,-43.3%,-44.4%,17.9%,61.6%,-44.8%,,10.5%,-3.0%,-41.9%,-57.1%,16.6%,0.1%,-42.5%,5.1%,36.8%,11.5%,44.3%,-65.5%,-52.5%
,Panel 5,,42.6%,19.3%,-43.3%,-44.4%,17.9%,61.6%,-44.8%,,10.5%,-3.0%,-41.9%,-57.1%,16.6%,0.1%,-42.5%,5.1%,36.8%,11.5%,44.3%,-65.5%,-52.5%
,Panel 5,,20.7%,0.4%,-8.2%,6.1%,35.0%,3.4%,239.3%,-15.1%,6.5%,23.0%,-11.5%,2.6%,3.9%,16.7%,-4.0%,12.2%,20.6%,24.7%,10.5%,7.8%,-8.6%
,Panel 5,,20.7%,0.4%,-8.2%,6.1%,35.0%,3.4%,239.3%,-15.1%,6.5%,23.0%,-11.5%,2.5%,3.9%,16.7%,-4.0%,12.2%,20.5%,24.7%,10.5%,7.8%,-8.5%
,Panel 5,,2.3%,8.2%,19.8%,1.4%,1.1%,-9.9%,6.4%,21.9%,1.6%,9.9%,5.6%,3.7%,2.9%,4.0%,6.3%,1.2%,2.0%,4.1%,1.0%,1.3%,0.4%
,Panel 5,,2.1%,8.2%,19.8%,1.4%,1.1%,-9.9%,6.1%,21.9%,1.6%,9.6%,5.3%,3.4%,2.7%,3.9%,6.0%,1.0%,1.9%,4.0%,1.3%,1.4%,0.4%
,Panel 5,,0.0%,3.5%,6.6%,-2.1%,-1.9%,-10.1%,3.6%,11.4%,-2.6%,4.8%,-2.7%,-5.2%,1.4%,-1.2%,-1.2%,1.5%,0.2%,3.6%,3.3%,2.9%,0.3%
,Panel 5,,0.2%,3.5%,6.6%,-2.0%,-2.0%,-10.1%,3.5%,11.4%,-2.6%,4.6%,-2.9%,-5.4%,1.3%,-1.2%,-1.4%,1.4%,0.1%,3.5%,3.4%,2.9%,0.2%
,Panel 5,,0.8%,-0.4%,-0.7%,-8.6%,-11.3%,-23.8%,-11.6%,8.0%,-11.6%,-6.0%,-9.2%,-13.5%,-5.4%,-10.0%,-9.1%,-11.0%,-5.8%,-4.9%,-2.3%,-0.4%,-5.9%
,Panel 5,,0.8%,0.3%,-0.1%,-8.1%,-11.0%,-23.5%,-11.1%,9.5%,-11.2%,-5.6%,-8.8%,-13.0%,-4.9%,-9.5%,-8.7%,-10.2%,-4.9%,-4.2%,-1.7%,-0.2%,-5.8%
,Panel 5,,22.7%,15.7%,11.4%,1.3%,8.5%,-22.0%,90.9%,13.2%,-1.0%,12.4%,-1.3%,-13.9%,-10.2%,15.2%,-7.5%,-5.3%,-4.7%,3.3%,-1.8%,-0.3%,-1.2%
,Panel 5,,22.7%,15.7%,11.4%,1.3%,8.5%,-22.0%,90.6%,13.2%,-1.0%,12.4%,-1.3%,-13.9%,-10.3%,15.2%,-7.5%,-5.4%,-4.7%,3.2%,-1.8%,-0.3%,-1.3%
,Panel 5,,2.3%,14.4%,11.7%,0.1%,3.4%,-12.8%,19.1%,14.2%,1.6%,6.9%,3.8%,2.1%,8.4%,5.6%,3.2%,7.9%,5.9%,5.5%,0.0%,-0.8%,0.0%
,Panel 5,,2.6%,14.4%,11.8%,-0.1%,3.3%,-13.2%,19.2%,14.0%,1.5%,6.6%,3.4%,1.7%,8.1%,5.5%,2.9%,7.5%,5.5%,5.2%,0.2%,-0.7%,0.5%
,Panel 1,1.87,0.4%,3.7%,-0.4%,1.2%,-3.6%,-17.8%,18.1%,19.8%,-5.6%,5.3%,-2.5%,-2.6%,-0.3%,-1.3%,-0.9%,-1.8%,-1.1%,1.0%,-1.7%,0.4%,1.6%
,Panel 1,,3.8%,7.4%,-6.7%,2.4%,-5.4%,-18.7%,13.7%,13.3%,-6.0%,10.9%,-2.0%,-3.7%,-1.3%,-2.7%,1.0%,-2.1%,-0.7%,-3.3%,-7.1%,-11.2%,-11.5%
,Panel 1,0.74,4.5%,5.9%,0.7%,-6.3%,5.4%,-11.9%,4.9%,28.6%,-4.4%,7.1%,1.8%,1.0%,-0.7%,-1.1%,3.4%,-1.8%,1.7%,1.7%,-1.8%,0.4%,-3.9%
,Panel 1,,4.3%,2.6%,-1.0%,-3.5%,-3.5%,-16.1%,9.0%,17.4%,-6.3%,6.0%,-0.5%,-1.5%,0.8%,-3.3%,1.0%,-0.9%,-0.8%,0.4%,-2.8%,-1.4%,-4.8%
,Panel 1,1.30,4.3%,1.1%,-1.8%,-2.1%,-7.4%,-18.0%,11.1%,12.2%,-7.2%,5.4%,-1.6%,-2.7%,1.6%,-4.4%,-0.1%,-0.5%,-2.0%,-0.2%,-3.3%,-2.2%,-5.2%
,Panel 1,,5.0%,5.1%,0.4%,7.6%,-3.7%,-20.1%,30.8%,22.7%,-4.6%,4.3%,-5.3%,-4.2%,-2.1%,1.4%,-3.6%,-3.1%,-1.5%,1.8%,0.0%,3.1%,1.9%
,Panel 1,1.46,5.0%,5.1%,0.4%,7.6%,-3.7%,-20.1%,30.8%,22.7%,-4.6%,4.3%,-5.3%,-4.2%,-2.1%,1.4%,-3.6%,-3.1%,-1.5%,1.8%,0.0%,3.1%,12.1%
,Panel 3,,0.2%,0.8%,6.9%,-3.3%,-2.8%,-13.4%,17.2%,-2.3%,-1.1%,2.6%,-6.8%,8.3%,-2.0%,-0.1%,-0.3%,0.1%,0.5%,1.0%,0.6%,3.3%,7.1%
,Panel 3,1.25,4.1%,3.7%,3.6%,-6.0%,2.6%,-18.2%,14.8%,15.8%,-4.3%,3.1%,-3.4%,14.1%,1.5%,-0.8%,3.3%,1.9%,3.2%,4.1%,5.2%,5.8%,2.0%
,Panel 3,1.02,0.3%,2.0%,6.4%,-2.9%,-4.1%,-13.7%,16.0%,-1.9%,-1.1%,3.5%,-7.6%,7.6%,-2.0%,-0.4%,-0.7%,0.7%,0.3%,1.6%,0.5%,4.1%,0.0%
,Panel 3,0.71,3.5%,7.3%,3.4%,-10.8%,-10.7%,-7.3%,-23.0%,-4.9%,-17.8%,-3.2%,-6.4%,-10.0%,-6.8%,-10.1%,-6.6%,-3.2%,-12.2%,-0.1%,5.5%,4.5%,7.9%
,Panel 1,0.68,2.2%,-21.1%,17.2%,-11.0%,-5.8%,-4.2%,-17.8%,-4.1%,-14.2%,1.0%,-11.7%,-19.9%,-3.9%,-8.4%,-10.6%,-9.1%,-11.6%,-3.3%,-1.2%,-7.6%,-10.2%
,Panel 5,1.04,0.1%,12.3%,12.8%,-11.8%,-3.9%,2.3%,-14.6%,-0.4%,-13.4%,1.8%,-8.3%,-10.7%,-6.1%,-6.0%,-5.9%,-3.9%,-7.9%,-11.4%,0.3%,-5.4%,-1.1%
,Panel 5,,1.4%,-11.7%,3.5%,-4.9%,-18.7%,20.5%,-31.4%,-1.6%,-15.4%,-1.6%,-11.4%,-5.4%,-18.0%,-7.8%,-6.4%,-12.0%,-18.7%,-18.1%,-10.1%,-11.1%,-6.8%
,Panel 5,,1.7%,28.2%,16.8%,-15.2%,8.1%,-10.0%,4.4%,0.5%,-11.5%,1.4%,-6.8%,-12.9%,4.5%,-4.5%,-6.2%,0.7%,-1.1%,-5.3%,7.6%,-0.9%,3.4%
,Panel 5,,57.0%,,96.8%,-72.5%,-22.1%,-41.9%,-100.0%,-9.7%,-54.0%,245.2%,8.5%,-63.0%,-90.6%,-30.0%,27.1%,53.8%,65.1%,-51.5%,59.0%,-20.4%,7.2%
,Panel 5,0.53,12.4%,-16.0%,-5.7%,-21.6%,0.3%,0.6%,51.3%,-25.3%,-6.8%,-10.9%,13.5%,21.6%,-0.1%,-25.3%,-3.7%,8.7%,15.4%,52.2%,-7.6%,1.8%,-11.0%
,Panel 5,2.46,0.9%,-1.5%,-0.5%,-6.7%,-3.8%,-10.1%,5.7%,-4.7%,-2.8%,-2.7%,-1.7%,-2.1%,-1.5%,-6.8%,-2.9%,-2.0%,-1.4%,0.4%,0.2%,-1.7%,-3.6%
,Panel 1,,0.5%,4.0%,-6.2%,-5.1%,-2.2%,-20.4%,7.7%,-6.6%,0.4%,-2.8%,-2.5%,-5.5%,-4.8%,-0.4%,-3.7%,-4.1%,-6.7%,-6.1%,-6.2%,-6.9%,-8.5%
,Panel 5,,0.9%,-0.3%,-0.6%,-6.6%,-4.9%,-8.2%,-1.2%,-4.4%,-2.4%,-3.6%,-1.4%,-2.7%,-1.8%,-7.0%,-2.8%,-1.9%,-1.2%,0.5%,0.4%,-1.4%,-3.3%
,Panel 5,,0.1%,4.3%,2.8%,-3.1%,-1.3%,-4.1%,2.5%,-0.6%,1.6%,0.2%,1.9%,-0.1%,0.7%,-2.8%,0.9%,0.8%,-0.3%,0.7%,0.5%,-1.4%,-3.3%
,Panel 5,,1.0%,-10.0%,0.3%,-7.1%,3.3%,-21.8%,61.2%,-6.6%,-5.1%,5.4%,-4.6%,3.3%,1.5%,-5.5%,-3.3%,-2.3%,-3.7%,-0.4%,-0.8%,-4.0%,-5.5%
,Panel 5,,1.3%,-10.0%,0.0%,-6.9%,3.1%,-21.2%,59.4%,-6.5%,-5.6%,5.4%,-4.6%,3.1%,1.6%,-5.8%,-3.4%,-2.1%,-3.0%,0.7%,0.2%,-2.6%,-4.8%
,Panel 1,1.04,0.0%,3.3%,-1.6%,-6.2%,-7.6%,-13.9%,-2.3%,-5.7%,0.3%,-3.9%,-3.1%,-3.4%,-5.4%,-0.5%,-3.8%,-3.8%,-7.7%,-5.8%,-7.1%,-8.2%,-8.5%
,Panel 1,,2.4%,6.3%,-17.2%,-2.3%,11.8%,-37.5%,41.4%,-8.9%,1.0%,1.5%,-0.1%,-14.1%,-1.7%,-0.1%,-3.2%,-5.6%,-2.6%,-6.9%,-3.1%,-0.7%,-8.5%
,Panel 3,0.99,1.3%,1.7%,5.0%,-4.3%,-1.7%,-6.5%,5.7%,-1.3%,3.7%,0.2%,-1.2%,-1.1%,-2.2%,1.2%,0.1%,-1.2%,-3.8%,-1.9%,-1.1%,-0.1%,-2.2%
,Panel 5,0.60,8.9%,14.6%,-13.2%,-4.7%,-13.3%,-3.8%,-29.5%,-5.4%,-5.5%,-10.7%,-8.1%,-0.6%,-1.5%,-5.4%,-8.0%,1.0%,-4.4%,4.0%,4.5%,24.4%,57.6%
,Panel 5,,4.6%,28.4%,1.8%,15.3%,7.7%,20.4%,-15.4%,5.3%,13.8%,11.2%,11.3%,16.9%,13.1%,5.3%,12.2%,16.7%,8.2%,21.5%,16.8%,13.5%,19.4%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,34.8%,,-98.8%,-99.0%,-99.3%,-99.0%,-97.0%,,-99.0%,-95.9%,-89.1%,-67.7%,-58.5%,,-94.2%,-59.4%,-43.9%,-38.4%,-28.1%,-27.9%,-23.8%
,Panel 5,0.30,261.7%,171.4%,273.2%,406.1%,447.4%,363.2%,384.5%,289.8%,348.8%,379.1%,169.8%,36.6%,31.3%,289.8%,292.0%,30.3%,19.6%,11.5%,3.3%,-2.0%,-4.7%
,Panel 5,,1122.2%,501.5%,1054.7%,2176.3%,1945.1%,1274.3%,1986.1%,921.6%,1404.8%,1603.5%,958.7%,266.5%,223.0%,921.6%,1333.8%,211.6%,130.5%,98.7%,54.6%,2.6%,2.3%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,10.4%,-10.8%,-11.4%,-17.7%,-10.5%,-22.4%,-35.9%,14.5%,-16.5%,-22.9%,-15.4%,-7.5%,-6.0%,14.5%,-18.0%,-7.6%,-6.6%,-10.1%,-6.0%,-2.3%,-5.7%
,Panel 5,0.92,3.9%,-10.8%,-11.1%,-13.7%,-19.9%,-20.4%,-3.6%,48.9%,-15.0%,-16.7%,-16.7%,-20.2%,-22.3%,48.9%,-16.1%,-20.1%,-20.8%,-24.4%,-29.0%,-34.5%,-29.8%
,Panel 1,,1.6%,-21.3%,-15.7%,-11.8%,-16.9%,-33.9%,-4.5%,-12.7%,-19.5%,-13.1%,-14.5%,-22.3%,-19.1%,-12.7%,-15.9%,-17.5%,-13.8%,-15.1%,-22.0%,-31.4%,-28.6%
,Panel 1,0.99,1.6%,-21.3%,-15.7%,-11.8%,-16.9%,-33.9%,-4.5%,-12.7%,-19.5%,-13.1%,-14.5%,-22.3%,-19.1%,-12.7%,-15.9%,-17.5%,-13.8%,-15.1%,-22.0%,-31.2%,-28.1%
,Panel 1,,1.0%,-23.5%,-14.6%,-11.0%,-20.5%,-36.4%,-3.8%,-15.0%,-20.2%,-12.2%,-14.2%,-21.0%,-19.7%,-15.0%,-15.7%,-16.8%,-13.5%,-15.0%,-21.7%,-32.4%,-30.1%
,Panel 5,,13.2%,4.4%,74.5%,39.5%,51.4%,136.4%,24.6%,-5.3%,70.4%,14.5%,28.2%,30.8%,28.8%,-5.3%,36.8%,23.6%,21.4%,11.5%,-6.6%,21.3%,33.5%
,Panel 5,,5.6%,-22.2%,33.2%,4.4%,14.5%,145.2%,58.2%,-43.9%,42.2%,17.2%,17.3%,24.9%,24.8%,-43.9%,24.1%,18.5%,17.1%,8.5%,-15.3%,9.0%,14.6%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,246.7%,-77.1%,-64.2%
,Panel 5,,21.4%,537.7%,155.1%,85.0%,125.2%,133.8%,-21.2%,3325.1%,118.8%,9.4%,87.8%,64.5%,52.4%,3325.1%,73.1%,51.7%,48.3%,32.5%,26.4%,41.3%,49.5%
,Panel 5,0.43,11.2%,-52.5%,-27.8%,-0.1%,-20.1%,-22.4%,-47.8%,-87.3%,-19.9%,-23.0%,-34.8%,-12.5%,-15.2%,-87.3%,-26.9%,-15.7%,-13.7%,-20.0%,-15.0%,-19.4%,-17.7%
,Panel 5,1.01,8.9%,17.8%,35.6%,43.0%,28.8%,32.2%,6.2%,9.2%,30.2%,12.5%,20.7%,21.4%,11.4%,9.2%,21.1%,12.2%,5.2%,3.0%,8.3%,12.6%,14.0%
,Panel 3,1.00,4.2%,10.6%,13.0%,24.5%,16.7%,26.6%,-19.5%,4.1%,21.8%,-2.8%,8.4%,21.0%,6.7%,4.1%,9.6%,13.8%,11.9%,7.5%,15.1%,14.1%,18.7%
,Panel 5,,3.1%,1.8%,13.7%,28.6%,19.1%,21.4%,-4.0%,-8.0%,17.5%,0.9%,4.9%,7.5%,3.3%,-8.0%,8.0%,4.9%,5.2%,3.0%,8.3%,12.6%,14.0%
,Panel 5,,5.0%,4.5%,40.9%,44.1%,24.4%,53.9%,12.4%,52.2%,36.4%,23.0%,40.2%,29.7%,26.5%,52.2%,32.9%,27.9%,37.3%,36.6%,27.5%,30.9%,28.8%
,Panel 1,,2.0%,-6.9%,-0.2%,1.9%,3.1%,-7.2%,-0.9%,-9.9%,0.7%,2.9%,-2.5%,1.8%,-3.2%,-9.9%,0.1%,-1.9%,-4.6%,-6.8%,-5.2%,-4.5%,-0.4%
,Panel 5,0.82,2.0%,-9.4%,-0.2%,1.5%,10.5%,11.7%,-0.6%,48.1%,6.0%,3.1%,-0.4%,2.9%,-1.3%,48.1%,2.7%,0.8%,4.1%,1.9%,5.6%,2.5%,3.1%
,Panel 5,,7484.2%,1173.0%,,,,,,,7110.2%,20718.0%,,6579.6%,4648.8%,,17504.3%,10020.1%,30537.2%,-79.3%,182.4%,-20.4%,-95.6%
,Panel 5,,21.9%,2617.4%,-63.7%,14.8%,-12.1%,7.5%,-9.1%,,-5.1%,-14.4%,-19.6%,-9.4%,14.0%,,-13.6%,8.3%,-0.7%,4.7%,29.6%,-7.0%,7.4%
,Panel 5,,18.3%,20.1%,21.9%,134.0%,39.9%,38.7%,-76.3%,468.8%,56.0%,31.1%,61.8%,69.8%,54.3%,468.8%,50.5%,68.9%,49.4%,41.7%,13.9%,-9.9%,-3.7%
,Panel 5,,4.0%,5.6%,2.5%,-4.5%,7.7%,15.3%,1.0%,9.6%,7.2%,0.6%,2.2%,-0.4%,-0.5%,9.6%,3.3%,-0.7%,6.5%,0.8%,4.0%,-0.1%,-5.1%
,Panel 5,,0.3%,-27.2%,-0.3%,4.5%,15.6%,1.7%,-5.5%,539.4%,3.2%,10.6%,1.5%,9.9%,0.9%,539.4%,4.9%,4.6%,8.7%,11.9%,21.4%,16.8%,24.2%
,Panel 5,,1.4%,-8.8%,-10.3%,4.5%,8.4%,8.4%,4.5%,-2.8%,1.5%,-0.1%,-5.2%,2.3%,-4.3%,-2.8%,-1.5%,0.0%,-1.2%,-1.6%,-1.0%,-1.6%,-1.6%
,Panel 5,,2.2%,19.4%,11.6%,0.8%,1.3%,5.2%,4.6%,3.8%,6.9%,-0.7%,-2.7%,-6.8%,1.1%,3.8%,0.8%,-1.4%,-0.9%,-8.4%,4.4%,3.5%,-0.2%
,Panel 5,,16.5%,14.3%,17.0%,16.7%,1.6%,48.9%,1.7%,24.5%,22.2%,0.6%,-6.5%,-6.8%,-14.9%,24.5%,4.2%,-12.3%,-10.9%,-19.0%,-14.6%,-16.9%,-13.5%
,Panel 5,,2.0%,-9.4%,6.2%,-2.8%,23.9%,27.2%,-2.3%,-12.3%,13.5%,0.5%,-5.1%,2.5%,-3.2%,-12.3%,2.1%,0.1%,-3.2%,-7.0%,-7.3%,-9.0%,-4.7%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 1,,2.0%,-6.9%,-0.2%,1.9%,3.1%,-7.2%,-0.9%,-9.9%,0.7%,2.9%,-2.5%,1.8%,-3.2%,-9.9%,0.1%,-1.9%,-4.6%,-6.9%,-5.3%,-4.5%,-0.4%
,Panel 1,,5.2%,1.9%,4.1%,2.4%,8.3%,-7.5%,-4.7%,-1.9%,3.5%,-4.4%,-4.8%,-2.2%,-7.9%,-1.9%,-2.3%,-7.5%,-7.7%,-11.9%,-8.9%,-5.7%,-6.3%
,Panel 1,,0.5%,-2.9%,1.9%,6.3%,5.8%,-4.5%,5.1%,-6.5%,4.3%,3.8%,-2.1%,4.3%,-0.7%,-6.5%,1.6%,1.1%,-4.2%,-4.4%,-4.0%,-1.4%,1.2%
,Panel 1,,5.6%,24.2%,-15.8%,1.6%,-1.7%,-7.0%,32.6%,7.7%,-0.6%,13.7%,-4.9%,-3.4%,1.0%,7.7%,1.9%,-3.7%,-10.1%,-17.1%,-8.5%,-2.8%,-7.0%
,Panel 1,,23.0%,15.4%,19.4%,32.7%,24.3%,34.5%,19.7%,30.5%,28.9%,10.2%,2.4%,-8.5%,-14.8%,30.5%,12.8%,-10.2%,-28.5%,-36.6%,-32.2%,-26.4%,-14.3%
,Panel 1,,3.0%,1.7%,-1.4%,-12.3%,-12.3%,8.2%,-23.6%,23.3%,-3.6%,-15.7%,-7.7%,-4.9%,-15.6%,23.3%,-9.3%,-12.3%,-14.8%,-17.5%,-14.5%,-8.9%,-10.1%
,Panel 1,,0.0%,-17.9%,-10.1%,-9.2%,-13.7%,-21.5%,-2.9%,-5.7%,-14.0%,-7.4%,-8.9%,-8.6%,-12.1%,-5.7%,-10.2%,-10.5%,-10.3%,-7.6%,-10.3%,-8.4%,-0.1%
,Panel 5,1.43,2.2%,-5.0%,-4.5%,-13.6%,-16.3%,13.1%,37.7%,-6.0%,-18.3%,-9.5%,-15.2%,-18.9%,-15.6%,-12.2%,-14.4%,-14.5%,-13.1%,-14.0%,3.7%,2.6%,2.4%
,Panel 1,1.23,1.0%,-16.6%,-10.7%,-16.5%,-24.1%,42.0%,36.2%,-4.2%,-21.0%,-9.7%,-13.5%,-15.8%,-14.7%,-14.0%,-12.9%,-15.2%,-13.7%,-10.6%,-5.5%,-7.8%,-6.5%
,Panel 3,2.05,0.8%,-11.3%,2.0%,-16.5%,-17.5%,27.5%,-2.5%,-3.8%,-15.2%,-4.2%,-9.8%,-15.5%,-11.8%,-8.8%,-9.7%,-10.3%,-7.8%,-9.5%,2.1%,3.4%,1.2%
,Panel 5,,0.7%,2.2%,1.6%,12.8%,5.6%,73.6%,-26.7%,5.2%,8.4%,10.7%,6.1%,8.5%,6.3%,5.2%,8.4%,7.6%,8.2%,8.7%,10.5%,10.3%,10.7%
,Panel 5,,1.0%,-0.1%,1.9%,13.0%,5.6%,58.4%,-20.1%,1.5%,8.1%,10.6%,5.7%,8.0%,6.0%,1.5%,8.1%,7.2%,7.8%,8.6%,10.0%,6.2%,6.6%
,Panel 5,,5.4%,13.6%,-34.7%,-11.4%,3.3%,592.2%,-90.0%,18.3%,13.6%,12.3%,16.9%,22.5%,12.5%,18.3%,14.2%,19.6%,19.8%,10.6%,23.0%,48185.4%,50760.4%
,Panel 1,,7.5%,32.6%,27.6%,18.6%,36.3%,9.0%,6.5%,23.7%,35.9%,25.2%,34.5%,37.9%,34.6%,32.6%,27.9%,35.5%,20.5%,12.9%,-0.7%,4.7%,4.0%
,Panel 5,0.75,3.8%,84.8%,-10.9%,-6.8%,3.9%,1.9%,-16.8%,2.6%,9.3%,7.4%,5.3%,-2.5%,0.0%,84.8%,4.7%,0.9%,-2.0%,5.5%,1.9%,5.6%,8.4%
,Panel 5,,2.4%,-41.9%,-19.1%,-8.2%,20.8%,46.0%,-15.3%,3.6%,-3.3%,7.1%,22.1%,-6.7%,5.1%,-41.9%,4.7%,7.0%,8.0%,1.3%,-8.4%,-0.7%,4.0%
,Panel 5,,3.6%,137.9%,-6.4%,-5.4%,7.0%,5.3%,-15.6%,7.5%,12.7%,11.8%,8.3%,2.0%,5.4%,137.9%,8.6%,5.0%,0.2%,10.0%,7.8%,8.0%,14.6%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,9.1%,-87.0%,-90.1%,-83.4%,33.5%,-23.1%,60.2%,-55.4%,10.6%,-22.9%,49.0%,-24.2%,-20.4%,-87.0%,-15.6%,-6.5%,-5.9%,7.8%,51.4%,65.3%,65.6%
,Panel 5,,2.8%,79.0%,-10.6%,-1.6%,-0.5%,-19.7%,-15.5%,-2.1%,12.1%,9.2%,-10.6%,0.6%,6.5%,79.0%,1.8%,-1.0%,0.6%,1.5%,-3.8%,11.5%,1.9%
,Panel 5,,34.4%,,-70.8%,9710.6%,-100.0%,-76.9%,-90.6%,-36.2%,-62.8%,-38.0%,137.1%,-61.8%,56.3%,,-44.8%,-10.4%,26.8%,-57.1%,411.8%,-90.5%,-94.6%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,1151.0%,-81.5%,-58.9%,-100.0%,-80.2%
,Panel 5,,7.5%,7.4%,-27.7%,-23.6%,-21.6%,-16.6%,-34.0%,-19.9%,-9.1%,-19.8%,-10.7%,-29.1%,-32.6%,7.4%,-16.8%,-24.3%,-19.6%,-6.5%,-11.1%,-0.6%,-4.5%
,Panel 5,,20.1%,124.3%,18.8%,75.8%,117.8%,91.8%,285.2%,78.2%,120.8%,113.8%,104.9%,96.1%,61.4%,124.3%,107.0%,86.9%,26.3%,-14.2%,-13.3%,-18.7%,7.3%
,Panel 5,,6.4%,56.8%,-16.2%,-19.1%,-19.5%,-14.4%,-30.4%,-11.7%,-22.3%,-11.3%,-8.4%,-11.2%,11.2%,-16.8%,-10.4%,6.8%,8.0%,16.1%,15.8%,30.4%,48.1%
,Panel 5,,65.6%,,-100.0%,,-6.9%,-100.0%,-100.0%,-95.7%,-83.2%,-20.9%,62.7%,-94.2%,6.9%,-89.0%,-23.4%,1682.1%,48.8%,167.1%,5265.8%,5.4%,75.4%
,Panel 5,,3.8%,-9.4%,-79.4%,,231.3%,-100.0%,-100.0%,-64.9%,-80.8%,-100.0%,-63.8%,-62.1%,-64.1%,-73.2%,-77.0%,-59.7%,-45.3%,-61.5%,-65.0%,-27.1%,5.4%
,Panel 5,,5.8%,76.8%,-7.6%,-12.9%,-16.2%,-8.6%,-26.5%,-5.0%,-17.3%,-7.2%,-1.9%,-5.3%,17.1%,-10.9%,-5.1%,16.1%,9.1%,14.6%,15.2%,16.4%,39.3%
,Panel 5,,14.8%,-19.0%,-73.9%,-5.7%,-27.7%,-40.6%,51.6%,-40.9%,-23.2%,16.1%,-38.1%,-27.7%,-2.3%,-32.2%,-17.3%,-17.5%,-24.0%,13.1%,13.6%,-11.6%,1.7%
